beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
IPA,"Lagunitas Brewing Company","IPA - American",6.2,52,,,,,,,,4.25,"2018-08-29 18:50:57",https://untappd.com/c/645065226,https://untappd.com/beer/4509,https://untappd.com/brewery/765,"United States",Petaluma,CA,,7-Eleven,Bottle,645065226,4509,765,,3.72,3.72,,0,0
"New Flowers Series #1: Íris","Dama Bier","IPA - New England",6.5,60,,"Tap Tap","São Paulo",SP,Brasil,-23.5475,-46.6458,4.5,"2018-09-01 19:39:27",https://untappd.com/c/646626160,https://untappd.com/beer/2541333,https://untappd.com/brewery/7619,Brazil,Piracicaba,"São Paulo","aromatic,fruity",,Draft,646626160,2541333,7619,https://untappd.s3.amazonaws.com/photos/2018_09_01/0fc3a6fe105f8ca7f297f7cdc51d8438_raw.jpeg,3.93,3.86,,1,0
"Gillian (2015)","Goose Island Beer Co.","Farmhouse Ale - Saison",8.6,0,,,,,,,,,"2018-09-06 23:24:46",https://untappd.com/c/648527931,https://untappd.com/beer/1129080,https://untappd.com/brewery/2898,"United States",Chicago,IL,tart,,Bottle,648527931,1129080,2898,,4.21,4.17,,0,0
"Golden Monkey","Victory Brewing Company","Belgian Tripel",9.5,25,,,,,,,,4.75,"2018-09-12 18:57:14",https://untappd.com/c/650830036,https://untappd.com/beer/3787,https://untappd.com/brewery/1326,"United States",Downingtown,PA,,,Bottle,650830036,3787,1326,,3.75,3.75,,0,0
"Dead Guy Ale","Rogue Ales","Bock - Hell / Maibock / Lentebock",6.8,40,,,,,,,,,"2018-09-16 22:19:04",https://untappd.com/c/652909381,https://untappd.com/beer/4172,https://untappd.com/brewery/4565,"United States",Newport,OR,,,Can,652909381,4172,4565,https://untappd.s3.amazonaws.com/photos/2018_09_17/062f7de5d2d9f84dd29520b88650ca6c_raw.jpeg,3.71,3.71,,0,0
"Stone ///Fear.Movie.Lions Double IPA","Stone Brewing","IPA - Imperial / Double New England",8.5,60,,,,,,,,4.5,"2018-09-22 13:18:31",https://untappd.com/c/654775417,https://untappd.com/beer/2495079,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,Can,654775417,2495079,1204,https://untappd.s3.amazonaws.com/photos/2018_09_22/90a5f6731601a8217e055bb9a3fb7721_raw.jpeg,3.91,3.91,,2,0
Öktö,"Cervejaria Colorado",Festbier,5,18,,,,,,,,,"2018-10-07 13:32:51",https://untappd.com/c/661145182,https://untappd.com/beer/2862751,https://untappd.com/brewery/4804,Brazil,"Ribeirão Preto","São Paulo",,,Bottle,661145182,2862751,4804,https://untappd.s3.amazonaws.com/photos/2018_10_07/04604786b1512625e76b613f830a4c73_raw.jpeg,3.5,3.51,,1,0
"Lund American Pale Ale","Cervejaria Lund","Pale Ale - American",4.8,41,,,,,,,,,"2018-10-19 20:49:24",https://untappd.com/c/665693106,https://untappd.com/beer/2032194,https://untappd.com/brewery/29907,Brazil,"Ribeirão Preto","São Paulo",,,Bottle,665693106,2032194,29907,,3.52,3.56,,0,0
"Miracle IPA","Cervejaria Tarantino","IPA - American",6.2,44,,"Cervejaria Tarantino","São Paulo",SP,Brasil,-23.5064,-46.6826,,"2018-10-20 17:50:17",https://untappd.com/c/666282486,https://untappd.com/beer/2694876,https://untappd.com/brewery/260420,Brazil,"São Paulo","São Paulo",,,Draft,666282486,2694876,260420,,3.68,3.68,,0,0
"Session IPA","Cervejaria Tarantino","IPA - Session / India Session Ale",4.8,40,,"Cervejaria Tarantino","São Paulo",SP,Brasil,-23.5064,-46.6826,,"2018-10-20 18:31:12",https://untappd.com/c/666325639,https://untappd.com/beer/1512160,https://untappd.com/brewery/260420,Brazil,"São Paulo","São Paulo",,"Cervejaria Tarantino",Draft,666325639,1512160,260420,,3.62,3.63,,0,0
